"Nombre","Código ","Numero Municipio"
"NUEVA GRANADA","47","47460"
"PEDRAZA","47","47541"
"PIJIÑO DEL CARMEN","47","47545"
"PIVIJAY","47","47551"
"PLATO","47","47555"
"PUEBLOVIEJO","47","47570"
"REMOLINO","47","47605"
"SABANAS DE SAN ÁNGEL","47","47660"
"SALAMINA","47","47675"
"SAN SEBASTIÁN DE BUENAVISTA","47","47692"
"SAN ZENÓN","47","47703"
"SANTA ANA","47","47707"
"SANTA BÁRBARA DE PINTO","47","47720"
"SITIONUEVO","47","47745"
"TENERIFE","47","47798"
"ZAPAYÁN","47","47960"
"ZONA BANANERA","47","47980"
"VILLAVICENCIO","50","50001"
"ACACÍAS","50","50006"
"BARRANCA DE UPÍA","50","50110"
"CABUYARO","50","50124"
"CASTILLA LA NUEVA","50","50150"
"CUBARRAL","50","50223"
"CUMARAL","50","50226"
"EL CALVARIO","50","50245"
"EL CASTILLO","50","50251"
"EL DORADO","50","50270"
"FUENTE DE ORO","50","50287"
"GRANADA","50","50313"
"GUAMAL","50","50318"
"MAPIRIPÁN","50","50325"
"MESETAS","50","50330"
"LA MACARENA","50","50350"
"URIBE","50","50370"
"LEJANÍAS","50","50400"
"PUERTO CONCORDIA","50","50450"
"PUERTO GAITÁN","50","50568"
"PUERTO LÓPEZ","50","50573"
"PUERTO LLERAS","50","50577"
"PUERTO RICO","50","50590"
"RESTREPO","50","50606"
"SAN CARLOS DE GUAROA","50","50680"
"SAN JUAN DE ARAMA","50","50683"
"SAN JUANITO","50","50686"
"SAN MARTÍN","50","50689"
"VISTAHERMOSA","50","50711"
"PASTO","52","52001"
"ALBÁN","52","52019"
"ALDANA","52","52022"
"ANCUYA","52","52036"
"ARBOLEDA","52","52051"
"BARBACOAS","52","52079"
"BELÉN","52","52083"
"BUESACO","52","52110"
"COLÓN","52","52203"
"CONSACÁ","52","52207"
"CONTADERO","52","52210"
"CÓRDOBA","52","52215"
"CUASPUD CARLOSAMA","52","52224"
"CUMBAL","52","52227"
"CUMBITARA","52","52233"
"CHACHAGÜÍ","52","52240"
"EL CHARCO","52","52250"
"EL PEÑOL","52","52254"
"EL ROSARIO","52","52256"
"EL TABLÓN DE GÓMEZ","52","52258"
"EL TAMBO","52","52260"
"FUNES","52","52287"
"GUACHUCAL","52","52317"
"GUAITARILLA","52","52320"
"GUALMATÁN","52","52323"
"ILES","52","52352"
"IMUÉS","52","52354"
"IPIALES","52","52356"
"LA CRUZ","52","52378"
"LA FLORIDA","52","52381"
"LA LLANADA","52","52385"
"LA TOLA","52","52390"
"LA UNIÓN","52","52399"
"LEIVA","52","52405"
"LINARES","52","52411"
"LOS ANDES","52","52418"
"MAGÜÍ","52","52427"
"MALLAMA","52","52435"
"MOSQUERA","52","52473"
"NARIÑO","52","52480"
"OLAYA HERRERA","52","52490"
"OSPINA","52","52506"
"FRANCISCO PIZARRO","52","52520"
"POLICARPA","52","52540"
"POTOSÍ","52","52560"
"PROVIDENCIA","52","52565"
"PUERRES","52","52573"
"PUPIALES","52","52585"
"RICAURTE","52","52612"
"ROBERTO PAYÁN","52","52621"
"SAMANIEGO","52","52678"
"SANDONÁ","52","52683"
"SAN BERNARDO","52","52685"
"SAN LORENZO","52","52687"
"SAN PABLO","52","52693"
"SAN PEDRO DE CARTAGO","52","52694"
"SANTA BÁRBARA","52","52696"
"SANTACRUZ","52","52699"
"SAPUYES","52","52720"
"TAMINANGO","52","52786"
"TANGUA","52","52788"
"SAN ANDRÉS DE TUMACO","52","52835"
"TÚQUERRES","52","52838"
"YACUANQUER","52","52885"
"SAN JOSÉ DE CÚCUTA","54","54001"
"ÁBREGO","54","54003"
"ARBOLEDAS","54","54051"
"BOCHALEMA","54","54099"
"BUCARASICA","54","54109"
"CÁCOTA","54","54125"
"CÁCHIRA","54","54128"
"CHINÁCOTA","54","54172"
"CHITAGÁ","54","54174"
"CONVENCIÓN","54","54206"
"CUCUTILLA","54","54223"
"DURANIA","54","54239"
"EL CARMEN","54","54245"
"EL TARRA","54","54250"
"EL ZULIA","54","54261"
"GRAMALOTE","54","54313"
"HACARÍ","54","54344"
"HERRÁN","54","54347"
"LABATECA","54","54377"
"LA ESPERANZA","54","54385"
"LA PLAYA","54","54398"
"LOS PATIOS","54","54405"
"LOURDES","54","54418"
"MUTISCUA","54","54480"
"OCAÑA","54","54498"
"PAMPLONA","54","54518"
"PAMPLONITA","54","54520"
"PUERTO SANTANDER","54","54553"
"RAGONVALIA","54","54599"
"SALAZAR","54","54660"
"SAN CALIXTO","54","54670"
"SAN CAYETANO","54","54673"
"SANTIAGO","54","54680"
"SARDINATA","54","54720"
"SILOS","54","54743"
"TEORAMA","54","54800"
"TIBÚ","54","54810"
"TOLEDO","54","54820"
"VILLA CARO","54","54871"
"VILLA DEL ROSARIO","54","54874"
"ARMENIA","63","63001"
"BUENAVISTA","63","63111"
"CALARCÁ","63","63130"
"CIRCASIA","63","63190"
"CÓRDOBA","63","63212"
"FILANDIA","63","63272"
"GÉNOVA","63","63302"
"LA TEBAIDA","63","63401"
"MONTENEGRO","63","63470"
"PIJAO","63","63548"
"QUIMBAYA","63","63594"
"SALENTO","63","63690"
"PEREIRA","66","66001"
"APÍA","66","66045"
"BALBOA","66","66075"
"BELÉN DE UMBRÍA","66","66088"
"DOSQUEBRADAS","66","66170"
"GUÁTICA","66","66318"
"LA CELIA","66","66383"
"LA VIRGINIA","66","66400"
"MARSELLA","66","66440"
"MISTRATÓ","66","66456"
"PUEBLO RICO","66","66572"
"QUINCHÍA","66","66594"
"SANTA ROSA DE CABAL","66","66682"
"SANTUARIO","66","66687"
"BUCARAMANGA","68","68001"
"AGUADA","68","68013"
"ALBANIA","68","68020"
"ARATOCA","68","68051"
"BARBOSA","68","68077"
"BARICHARA","68","68079"
"BARRANCABERMEJA","68","68081"
"BETULIA","68","68092"
"BOLÍVAR","68","68101"
"CABRERA","68","68121"
"CALIFORNIA","68","68132"
"CAPITANEJO","68","68147"
"CARCASÍ","68","68152"
"CEPITÁ","68","68160"
"CERRITO","68","68162"
"CHARALÁ","68","68167"
"CHARTA","68","68169"
"CHIMA","68","68176"
"CHIPATÁ","68","68179"
"CIMITARRA","68","68190"
"CONCEPCIÓN","68","68207"
"CONFINES","68","68209"
"CONTRATACIÓN","68","68211"
"COROMORO","68","68217"
"CURITÍ","68","68229"
"EL CARMEN DE CHUCURÍ","68","68235"
"EL GUACAMAYO","68","68245"
"EL PEÑÓN","68","68250"
"EL PLAYÓN","68","68255"
"ENCINO","68","68264"
"ENCISO","68","68266"
"FLORIÁN","68","68271"
"FLORIDABLANCA","68","68276"
